animal_name,wikipedia_sentence
イヌ,イヌ（犬、狗、学名：Canis lupus familiaris、ラテン語名：canis、英名：dog、domestic dog）は、食肉目イヌ科イヌ属に分類される哺乳類の一種である。属名 Canis、種小名 lupus はラテン語でそれぞれ「犬」「狼」の意。亜種名 familiaris はやはりラテン語で、「家庭に属する」といった意味である。広義には、イヌ科動物全般を指すこともある（後述）。野生のイヌ（野犬）もいるが、古くからヒトに猟犬や番犬、牧羊犬、軍用犬、警察犬などとして使役されたほか、愛玩動物（ペット）として飼われており、多様な犬種がいる。
ウシ,ウシ（牛）は、哺乳綱鯨偶蹄目ウシ科ウシ亜科の動物である。野生のオーロックスが、人類によって家畜化されて生まれた。但し、アメリカ哺乳類学会では、ウシ、オーロックス、コブウシをそれぞれ独立した種として分類している。「ウシ」は、狭義では特に（種レベルで）家畜種のウシ（学名：Bos taurus）を指す。一方、やや広義では、ウシ属 (genus Bos) を指し、そこにはバンテンなどの野生牛が含まれる。さらに広義では、ウシ亜科 (subfamilia Bovinae) の総称である。すなわち、アフリカスイギュウ属、アジアスイギュウ属、ウシ属、バイソン属などを指す。これらは牛と認められる共通の体形と特徴を持つ。大きな胴体、短い首と一対の角、胴体と比べて短めで前後にだけしか動けない脚、軽快さの乏しい比較的鈍重な動き、などが特徴である。ウシと比較的近縁の動物としては、同じウシ亜目（反芻亜目）にキリン類やシカ類、また、同じウシ科の仲間としてヤギ、ヒツジ、レイヨウなどがあるが、これらが牛と混同されることはまずない。以下ではこのうち、上記の狭義である「家畜ウシ」について解説する。
ウマ,"ウマ（馬、英: Horse, 学名: Equus caballus）は、哺乳綱奇蹄目ウマ科ウマ属に分類される家畜動物。社会性が強く群れで生活する。古くから中央アジア、中東、北アフリカなどで家畜として飼われた歴史がある。運搬用（荷役馬）、農耕（農耕馬）、乗用（乗用馬）、軍用（軍用馬・騎馬）、競技用（競技馬・競走馬）などに使われ、乳用、食用にもなる。学名は、equus も caballus ともにラテン語で「馬」の意。独立した種ではなく野生種であるノウマ（Equus ferus、野馬）から分かれた亜種Equus ferus caballusとする説もある。ノウマは、北アメリカ大陸原産で進化し、その後、ユーラシア大陸へも広がった。ただし北アメリカ大陸では、数千年前に絶滅した。"
カバ,カバ（河馬、Hippopotamus amphibius）は、哺乳綱偶蹄目（鯨偶蹄目とする説もあり）カバ科カバ属に分類される偶蹄類。
クマ,クマ（熊）は、哺乳綱食肉目クマ科（クマか、Ursidae）の構成種の総称。
サイ,サイ（犀）は、奇蹄目サイ科（サイか、Rhinocerotidae）に分類される構成種の総称。
サル,サル（猿）とは、通俗的な意味ではヒト（古人類を含む）を除いたサル目（霊長目）のことである。ただし、生物学的観点から見ればヒトもまたサル目に含まれ、「サル」の一種に他ならない。日本の歴史的文献においては、単に猿といえば日本固有種のニホンザルを指す場合が多い。一方、英語のmonkey（モンキー）や、いくつかの言語での相当する語は、学術的な定義上はオナガザル科（旧世界猿、old world monkey）と広鼻猿（新世界猿、new world monkey）の総称である。つまり、サルのうち原猿（曲鼻猿とメガネザル）と類人猿を含まない。そのため日本語でも、特に翻訳文献で、サルにこれら（特にヒトに最も近いチンパンジー）を含めないことがある。
シカ,シカ（鹿、英語: Deer）は、鯨偶蹄目シカ科 (Cervidae) に属する哺乳類の総称である。ニホンジカ、トナカイ、ヘラジカなどが属しており、約16属36種が世界中の森林などに生息している。
ゾウ,ゾウ（象）は、哺乳綱ゾウ目（長鼻目）ゾウ科 (Elephantidae) の総称である。アジアゾウとアフリカゾウ、それとおそらくはマルミミゾウの、2属3種が現生し、これらは現生最大の陸生哺乳類である。他に絶滅したマンモスやナウマンゾウなどを含む。
トド,トド(胡獱、海馬、魹、Eumetopias jubatus)は、哺乳綱食肉目アシカ科トド属に分類される食肉類。本種のみでトド属を構成する。
トラ,トラ（虎、Panthera tigris）は、哺乳綱食肉目ネコ科ヒョウ属に分類される食肉類。同属のライオン、ヒョウ（豹）などともに猛獣に数えられる動物である。
ヌー,ヌー (Gnu) は、哺乳綱鯨偶蹄目ウシ科のヌー属 Connochaetes に属する動物の総称である。アフリカ大陸南部に生息する。
ネコ,ネコ（猫）は、狭義には食肉目ネコ科ネコ属に分類されるリビアヤマネコ（ヨーロッパヤマネコ）が家畜化されたイエネコ（家猫、Felis silvestris catus）に対する通称である。イヌ（犬）と並ぶ代表的なペットとして、世界中で飼われている。広義的には、ヤマネコやネコ科動物全般を指すこともある（後述）。
バク,バク（獏）は、奇蹄目に含まれるバク科（バクか、Taipiridae）の構成種の総称。現生種はすべてバク属（バクぞく、Tapirus）に分類される。
ヒト,ヒト（人、英: human）とは、広義にはヒト亜族（Hominina）に属する動物の総称であり、狭義には現生の（現在生息している）人類（学名 : Homo sapiens）、ホモ・サピエンス・サピエンス（ホモサピエンスサピエンス、Homo sapiens sapiens）を指す。人間（にんげん）ともいわれる。「ヒト」はいわゆる「人間」の生物学上の標準和名である。生物学上の種としての存在を指す場合には、カタカナを用いて、こう表記することが多い。本記事では、ヒトの生物学的側面について述べる。現生の人類（狭義のヒト）に重きを置いて説明するが、その説明にあたって広義のヒトにも言及する。
ヒヒ,ヒヒ（狒々）とは、サル目オナガザル科ヒヒ属 Papio に属する哺乳類の総称のこと。主にアフリカに分布する。地上で生活し、高度な社会を形成する。オスとメスの性差が大きい動物である。また、ヒヒという和名は伝説上の動物狒々にちなむ。
ブタ,ブタ（豚、学名: Sus scrofa domesticus、英語: pig）は、哺乳綱鯨偶蹄目イノシシ科の動物で、イノシシ（猪、Sus scrofa）を家畜化したものである。主に食用（豚肉）とされる。知能が高く綺麗好きな生物である。
ヤギ,ヤギ（山羊、野羊、英: Goat）は、ウシ科ヤギ属（Capra）の動物の総称である。狭義には家畜種 Capra hircus（分類によっては C. aegagrus の亜種 Capra aegagrus hircus）を指す。
ラバ,ラバ（騾馬、英語: Mule、ラテン語: Mulus）は、雄のロバと雌のウマの交雑種の家畜である。北米、アジア（特に中国）、メキシコに多く、スペインやアルゼンチンでも飼育されている。逆の組み合わせ（雄のウマと雌のロバの配合）で生まれる家畜をケッテイ（駃騠、英語: Hinny）と呼ぶが、ケッテイと比べると、ラバは育てるのが容易であり、体格も大きいため、より広く飼育されてきた。家畜として両親のどちらよりも優れた特徴があり、雑種強勢の代表例である。
リス,リス（栗鼠）は、ネズミ目（齧歯目）リス科に属する動物の総称である。リス科には、5亜科58属285種が含まれる。樹上で暮らすリスのほか、地上で暮らすマーモット、プレーリードッグ、シマリス、イワリス、ジリス、滑空能力のあるモモンガ、ムササビもリスの仲間である。
ロバ,ロバ（驢馬、馿馬）は、哺乳綱奇蹄目ウマ科ウマ属ロバ亜属（Asinus）の総称、もしくは、アフリカノロバの家畜化された亜種である Equus africanus asinus。以下では主に Equus africanus asinus について述べる。別名うさぎうま（兎馬）。漢語では驢（ろ）。古代から家畜として使用される。現生ウマ科の中で一番小型だが、力は強く、記憶力も良い。学名 Equus asinus（エクゥス・アシヌス）は、ラテン語で「馬・ロバ」の意。
アシカ,アシカ（海驢、葦鹿、Otariinae）は、鰭脚類アシカ科の海生動物である。ただし現状、その範囲は文脈により揺らぎがある。最も広義にはアシカ科の総称であるが、アシカ科には一般的にオットセイ、トド、オタリアも含まれ、これ等（特にオットセイ）を別扱いとする場合もある。さらに狭義の意味で、アシカ属1属を意味することもある。
イタチ,イタチ（鼬、鼬鼠）とは、ネコ目（食肉目）イヌ亜目クマ下目イタチ科イタチ属（Mustela）に含まれる哺乳類の総称である。オコジョ、イイズナ、ミンク、ニホンイタチなどがイタチ属に分類される。ペットとして人気のあるフェレットもイタチ属である。なお、「イタチ」の語は元来、日本に広く棲息するニホンイタチ（Mustela itatsi）を特に指す語であり、現在も、形態や生態のよく似た近縁のチョウセンイタチ（M. sibirica coreana）を含みながら、この狭い意味で用いられることが多い。また、広義にはイタチ亜科（あるいはイタチ科）の動物全般を指すこともあるが（イタチ亜科の場合、テンやクズリなどの仲間も含まれる）、ここではイタチ属のイタチ類について記す。
イルカ,イルカ（海豚、鯆）は、哺乳類偶蹄目（鯨偶蹄目）に属する鯨類の内、小型の種の総称である。なお、イルカとクジラは分類学的には明確に区別されない。
ウサギ,ウサギ（兎、兔）は、最も広義には兎形目、狭義にはウサギ科、さらに狭義にはウサギ亜科もしくはノウサギ亜科 Leporinaeの総称である。ここでは主にウサギ亜科について記述する。現在の分類では、ウサギ亜科には全ての現生ウサギ科を含めるが、かつては一部を含めない分類もあった。兎形目はウサギ科以外に、ナキウサギ科、サルデーニャウサギ科など。
